"","V1","V2","V3","V4","Sample.ID","Subject","Site","Month","Collection.Date","Sample.Type","Season","Year","Cohort","Cohort_label"
"96",-0.32905431300693,0.218008617050109,-0.0130756394046718,-0.0739153640306948,"C0201-P001NS01","Cow 02","Farm 01","Jun","2019-06-12","NASAL SWAB","Summer","Year 1","Cow","Cow (N=1186)"
"97",-0.28835962132809,-0.139484538505373,-0.20461308539677,-0.000111539733181899,"C0202-P001NS01","Cow 02","Farm 02","Jun","2019-06-04","NASAL SWAB","Summer","Year 1","Cow","Cow (N=1186)"
"98",-0.231262148547798,-0.149179634405476,-0.203811023652986,-0.0705048117281533,"C0202-S001NS01","Cow 02","Farm 02","Sep","2019-09-10","NASAL SWAB","Autumn","Year 1","Cow","Cow (N=1186)"
"99",-0.276995828567484,0.00791833718020099,-0.300979690396824,0.0846869726026642,"C0202-W001NS01","Cow 02","Farm 02","Mar","2019-03-27","NASAL SWAB","Spring","Year 1","Cow","Cow (N=1186)"
"100",-0.112211223734263,-0.124235166348019,-0.0813830785152595,-0.0343318164129672,"C0203-P001NS01","Cow 02","Farm 03","Jun","2019-06-12","NASAL SWAB","Summer","Year 1","Cow","Cow (N=1186)"
"101",-0.217291696111219,-0.161865616845538,-0.114598253115253,-0.058600449087784,"C0203-S001NS01","Cow 02","Farm 03","Sep","2019-09-12","NASAL SWAB","Autumn","Year 1","Cow","Cow (N=1186)"
"102",-0.0999468495590631,-0.00383154651378641,0.0367631439340617,-0.141077457253291,"C0203-V102NS01","Cow 02","Farm 03","Mar","2020-03-02","NASAL SWAB","Spring","Year 2","Cow","Cow (N=1186)"
"103",-0.15013878627818,0.0650607042547916,0.00831213573255809,0.472611736971318,"C0203-V401NS01","Cow 02","Farm 03","Dec","2019-12-05","NASAL SWAB","Winter","Year 1","Cow","Cow (N=1186)"
"104",-0.243503063660412,-0.0649964159111098,-0.247248123311235,-0.0944874815248462,"C0203-W001NS01","Cow 02","Farm 03","Apr","2019-04-04","NASAL SWAB","Spring","Year 1","Cow","Cow (N=1186)"
"105",-0.255695296982319,-0.0200910128326959,0.0872733818680996,-0.0802363934978387,"C0204-P001NS01","Cow 02","Farm 04","Jun","2019-06-03","NASAL SWAB","Summer","Year 1","Cow","Cow (N=1186)"
"106",-0.195795378600752,-0.252802096548461,-0.0656536929663259,-0.0538182156637596,"C0204-S001NS01","Cow 02","Farm 04","Sep","2019-09-09","NASAL SWAB","Autumn","Year 1","Cow","Cow (N=1186)"
"107",0.0699919113520373,-0.123097381950515,0.0398251377988039,-0.106871678953466,"C0204-V102NS01","Cow 02","Farm 04","Mar","2020-03-02","NASAL SWAB","Spring","Year 2","Cow","Cow (N=1186)"
"108",-0.221036509076445,-0.0937505328052355,-0.0932706582708148,0.0269653323653941,"C0204-V401NS01","Cow 02","Farm 04","Dec","2019-12-02","NASAL SWAB","Winter","Year 1","Cow","Cow (N=1186)"
"109",-0.371614349190092,0.14061303246214,-0.105732274407114,-0.159071318965487,"C0204-W001NS01","Cow 02","Farm 04","Mar","2019-03-28","NASAL SWAB","Spring","Year 1","Cow","Cow (N=1186)"
"110",-0.139043093877613,-0.379102108304386,0.304985386074502,-0.000279470915746313,"C0205-P001NS01","Cow 02","Farm 05","Jun","2019-06-05","NASAL SWAB","Summer","Year 1","Cow","Cow (N=1186)"
"111",-0.189948594817517,-0.405386933099608,0.123076692733976,-0.0467429493697393,"C0205-S001NS01","Cow 02","Farm 05","Sep","2019-09-11","NASAL SWAB","Autumn","Year 1","Cow","Cow (N=1186)"
"112",-0.299361504830859,0.343534257335224,0.234104313126637,-0.0549013608552449,"C0205-W001NS01","Cow 02","Farm 05","Apr","2019-04-02","NASAL SWAB","Spring","Year 1","Cow","Cow (N=1186)"
