"Sample.ID","Subject","Site","Month","Collection.Date","Sample.Type","Season","Year","Cohort","Richness"
"C0303-W001NS01","Cow 03","Farm 03","Apr","2019-04-04","NASAL SWAB","Spring","Year 1","Cow",155
"C0304-P001NS01","Cow 03","Farm 04","Jun","2019-06-03","NASAL SWAB","Summer","Year 1","Cow",72
"C0304-S001NS01","Cow 03","Farm 04","Sep","2019-09-09","NASAL SWAB","Autumn","Year 1","Cow",91
"C0304-V401NS01","Cow 03","Farm 04","Dec","2019-12-02","NASAL SWAB","Winter","Year 1","Cow",75
"C0304-W001NS01","Cow 03","Farm 04","Mar","2019-03-28","NASAL SWAB","Spring","Year 1","Cow",129
"C0305-V401NS01","Cow 03","Farm 05","Dec","2019-12-04","NASAL SWAB","Winter","Year 1","Cow",115
"C0305-W001NS01","Cow 03","Farm 05","Apr","2019-04-02","NASAL SWAB","Spring","Year 1","Cow",131
"C0306-P001NS01","Cow 03","Farm 06","Apr","2019-04-18","NASAL SWAB","Spring","Year 1","Cow",107
"C0306-S001NS01","Cow 03","Farm 06","Jun","2019-06-19","NASAL SWAB","Summer","Year 1","Cow",71
"C0306-V401NS01","Cow 03","Farm 06","Dec","2019-12-18","NASAL SWAB","Winter","Year 1","Cow",178
"C0307-P001NS01","Cow 03","Farm 07","Apr","2019-04-16","NASAL SWAB","Spring","Year 1","Cow",91
"C0307-S001NS01","Cow 03","Farm 07","Jun","2019-06-18","NASAL SWAB","Summer","Year 1","Cow",60
"C0307-V401NS01","Cow 03","Farm 07","Dec","2019-12-17","NASAL SWAB","Winter","Year 1","Cow",63
"C0308-F001NS01","Cow 03","Farm 08","Sep","2019-09-26","NASAL SWAB","Autumn","Year 1","Cow",13
"C0308-P001NS01","Cow 03","Farm 08","Apr","2019-04-18","NASAL SWAB","Spring","Year 1","Cow",88
"C0309-F001NS01","Cow 03","Farm 09","Oct","2019-10-21","NASAL SWAB","Autumn","Year 1","Cow",79
"C0309-P001NS01","Cow 03","Farm 09","May","2019-05-08","NASAL SWAB","Spring","Year 1","Cow",71
"C0309-S001NS01","Cow 03","Farm 09","Aug","2019-08-05","NASAL SWAB","Summer","Year 1","Cow",82
"C0310-F001NS01","Cow 03","Farm 10","Oct","2019-10-21","NASAL SWAB","Autumn","Year 1","Cow",109
"C0310-P001NS01","Cow 03","Farm 10","May","2019-05-06","NASAL SWAB","Spring","Year 1","Cow",61
"C0310-S001NS01","Cow 03","Farm 10","Aug","2019-08-05","NASAL SWAB","Summer","Year 1","Cow",60
"C0310-V401NS01","Cow 03","Farm 10","Jan","2020-01-13","NASAL SWAB","Winter","Year 1","Cow",183
"C0311-F001NS01","Cow 03","Farm 11","Oct","2019-10-23","NASAL SWAB","Autumn","Year 1","Cow",129
"C0311-P001NS01","Cow 03","Farm 11","May","2019-05-08","NASAL SWAB","Spring","Year 1","Cow",32
"C0311-S001NS01","Cow 03","Farm 11","Aug","2019-08-07","NASAL SWAB","Summer","Year 1","Cow",66
"C0311-V401NS01","Cow 03","Farm 11","Jan","2020-01-15","NASAL SWAB","Winter","Year 1","Cow",49
"C0312-P001NS01","Cow 03","Farm 12","May","2019-05-10","NASAL SWAB","Spring","Year 1","Cow",47
"C0312-S001NS01","Cow 03","Farm 12","Aug","2019-08-14","NASAL SWAB","Summer","Year 1","Cow",28
"C0312-V301NS01","Cow 03","Farm 12","Nov","2019-11-11","NASAL SWAB","Autumn","Year 1","Cow",78
"C0312-V401NS01","Cow 03","Farm 12","Feb","2020-02-06","NASAL SWAB","Winter","Year 1","Cow",71
"C0314-P001NS01","Cow 03","Farm 14","May","2019-05-29","NASAL SWAB","Spring","Year 1","Cow",70
"C0314-S001NS01","Cow 03","Farm 14","Aug","2019-08-23","NASAL SWAB","Summer","Year 1","Cow",139
"C0314-V301NS01","Cow 03","Farm 14","Nov","2019-11-19","NASAL SWAB","Autumn","Year 1","Cow",116
"C0314-V401NS01","Cow 03","Farm 14","Feb","2020-02-18","NASAL SWAB","Winter","Year 1","Cow",123
"C0315-P001NS01","Cow 03","Farm 15","May","2019-05-30","NASAL SWAB","Spring","Year 1","Cow",131
"C0315-V301NS01","Cow 03","Farm 15","Nov","2019-11-18","NASAL SWAB","Autumn","Year 1","Cow",97
"C0315-V401NS01","Cow 03","Farm 15","Feb","2020-02-18","NASAL SWAB","Winter","Year 1","Cow",113
"C0316-F001NS01","Cow 03","Farm 16","Oct","2019-10-16","NASAL SWAB","Autumn","Year 1","Cow",71
"C0316-P001NS01","Cow 03","Farm 16","Jul","2019-07-23","NASAL SWAB","Summer","Year 1","Cow",62
"C0316-V301NS01","Cow 03","Farm 16","Jan","2020-01-08","NASAL SWAB","Winter","Year 1","Cow",98
"C0317-F001NS01","Cow 03","Farm 17","Sep","2019-09-19","NASAL SWAB","Autumn","Year 1","Cow",42
"C0317-S001NS01","Cow 03","Farm 17","Jun","2019-06-19","NASAL SWAB","Summer","Year 1","Cow",38
"C0317-V301NS01","Cow 03","Farm 17","Dec","2019-12-05","NASAL SWAB","Winter","Year 1","Cow",61
